edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
4;0;6;0;0;2;6;6;3;1;14;0;0;0
1;0;18;0;65;92;35;35;7;42;20;3;0;4
0;0;0;0;0;0;2;2;2;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;14;14;0;0;0;4;3;0
1;0;2;1;2;2;15;15;5;1;1;3;2;2
0;0;0;0;0;0;6;6;0;0;0;0;0;0
0;0;8;0;4;25;16;16;0;20;10;0;1;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2;1;2;2;12;12;0;0;0;2;1;0
0;0;0;3;0;0;6;6;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;3;3;0;0;0;0;0;0
0;0;0;0;0;0;2;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;3;3;1;0;0;0;0;0
1;0;5;2;3;16;98;98;3;12;12;6;3;2
1;0;4;0;1;12;23;23;0;8;0;1;0;0
0;0;39;1;49;81;27;27;1;28;100;9;11;7
1;0;0;1;0;0;8;8;1;0;1;1;0;0
0;0;2;0;2;4;21;21;5;2;2;0;0;0
0;0;3;0;0;0;0;0;0;0;4;0;0;0
1;0;15;2;78;85;17;17;3;10;20;3;0;3
1;0;5;0;3;14;0;0;0;7;2;0;0;1
1;0;3;5;0;0;7;7;4;0;0;9;5;0
0;0;9;0;7;38;17;17;2;29;0;6;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;11;2;29;111;7;7;1;88;43;6;2;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0
